,deposit,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
8426,no,48,blue-collar,married,primary,no,134,yes,no,unknown,28,may,315,2,-1,0,unknown
7528,no,36,management,married,tertiary,no,-861,yes,yes,cellular,28,jul,53,2,-1,0,unknown
10524,no,28,admin.,married,secondary,no,170,yes,yes,unknown,21,may,492,1,-1,0,unknown
10808,no,38,management,married,tertiary,no,2278,yes,yes,cellular,13,may,244,1,-1,0,unknown
9085,no,30,management,single,tertiary,no,3773,yes,no,cellular,9,feb,75,4,258,1,failure
884,yes,47,admin.,divorced,secondary,no,555,yes,yes,telephone,17,oct,478,1,-1,0,unknown
8289,no,26,self-employed,married,secondary,no,492,yes,yes,cellular,15,may,439,4,-1,0,unknown
271,yes,59,management,married,secondary,no,1321,no,no,unknown,9,jun,3881,3,-1,0,unknown
9834,no,57,technician,married,primary,no,0,no,no,unknown,5,jun,58,8,-1,0,unknown
5464,no,27,blue-collar,single,secondary,no,1049,no,no,telephone,29,jan,389,3,-1,0,unknown
10639,no,31,unemployed,single,unknown,no,167,no,no,cellular,20,nov,316,1,-1,0,unknown
7860,no,40,entrepreneur,single,secondary,no,5,no,yes,cellular,15,jul,117,3,-1,0,unknown
8927,no,41,technician,married,secondary,no,1043,yes,yes,unknown,14,may,225,1,-1,0,unknown
8277,no,46,entrepreneur,married,secondary,no,131,yes,no,cellular,20,apr,69,2,-1,0,unknown
8208,no,52,blue-collar,married,primary,no,66653,no,no,cellular,14,aug,109,3,-1,0,unknown
6490,no,45,entrepreneur,married,tertiary,no,219,yes,yes,cellular,28,jul,118,4,-1,0,unknown
10097,no,38,management,married,unknown,no,1349,yes,no,unknown,6,may,100,1,-1,0,unknown
3971,yes,39,management,married,unknown,no,76,no,no,cellular,15,sep,200,1,183,1,success
9974,no,56,admin.,married,secondary,no,5310,no,no,unknown,19,jun,74,1,-1,0,unknown
8199,no,41,technician,married,secondary,no,457,yes,yes,unknown,26,may,181,2,-1,0,unknown
577,yes,27,technician,single,tertiary,no,372,yes,yes,cellular,25,jul,728,2,-1,0,unknown
8320,no,33,blue-collar,married,secondary,no,370,yes,no,cellular,8,apr,249,1,-1,0,unknown
6311,no,56,retired,married,primary,no,152,yes,yes,cellular,30,jul,65,7,-1,0,unknown
9421,no,32,admin.,single,tertiary,no,328,yes,yes,unknown,26,jun,271,1,-1,0,unknown
770,yes,35,technician,married,secondary,no,-180,no,yes,cellular,13,aug,823,2,-1,0,unknown
8877,no,38,blue-collar,divorced,primary,no,-258,yes,no,cellular,14,may,134,2,370,4,other
2030,yes,37,entrepreneur,single,secondary,no,-22,yes,no,cellular,15,may,317,1,-1,0,unknown
1074,yes,59,unemployed,single,primary,no,7724,no,no,cellular,21,nov,373,3,-1,0,unknown
11000,no,31,blue-collar,single,secondary,no,-159,no,yes,telephone,21,nov,49,1,-1,0,unknown
7870,no,32,admin.,single,secondary,no,223,yes,yes,unknown,27,may,236,4,-1,0,unknown
10455,no,32,blue-collar,married,primary,no,0,yes,yes,cellular,8,may,82,2,361,4,failure
5144,yes,33,admin.,married,secondary,no,82,yes,no,cellular,25,jul,735,1,-1,0,unknown
7274,no,39,management,divorced,tertiary,no,2193,yes,yes,unknown,2,jun,550,3,-1,0,unknown
6128,no,33,blue-collar,married,secondary,no,-81,yes,no,cellular,29,jan,339,2,-1,0,unknown
1890,yes,35,blue-collar,married,primary,no,159,yes,yes,cellular,12,may,826,1,-1,0,unknown
9568,no,57,management,married,primary,no,687,yes,yes,telephone,21,jul,107,3,-1,0,unknown
10530,no,38,management,single,tertiary,no,1746,yes,no,unknown,21,may,139,1,-1,0,unknown
6135,no,39,housemaid,married,primary,no,13338,no,no,cellular,11,aug,103,4,-1,0,unknown
8818,no,34,management,single,tertiary,no,1190,no,no,cellular,3,feb,18,7,-1,0,unknown
1869,yes,41,admin.,single,secondary,no,-109,yes,yes,cellular,11,may,1038,1,370,1,failure
6256,no,29,admin.,single,tertiary,no,8,no,yes,cellular,2,mar,107,1,-1,0,unknown
5955,no,40,management,married,tertiary,no,0,no,no,cellular,22,aug,61,4,-1,0,unknown
1436,yes,29,management,single,tertiary,no,1377,no,no,cellular,8,apr,548,2,-1,0,unknown
9150,no,56,services,divorced,secondary,no,72,yes,yes,cellular,7,may,263,1,357,4,failure
5506,no,30,technician,single,tertiary,no,0,no,no,cellular,28,aug,262,6,-1,0,unknown
10435,no,25,technician,divorced,secondary,no,86,no,yes,cellular,8,jul,483,2,-1,0,unknown
4921,yes,36,services,divorced,secondary,yes,0,no,yes,cellular,15,jul,687,7,-1,0,unknown
7958,no,30,management,single,tertiary,no,218,no,no,unknown,3,jun,75,1,-1,0,unknown
9280,no,48,technician,married,secondary,no,759,yes,no,cellular,28,jul,84,5,-1,0,unknown
246,yes,53,housemaid,married,primary,no,104,no,yes,unknown,5,jun,701,1,-1,0,unknown
7637,no,55,admin.,married,secondary,no,183,yes,no,unknown,6,may,150,1,-1,0,unknown
644,yes,55,technician,married,secondary,no,264,yes,yes,cellular,31,jul,1150,5,-1,0,unknown
5456,no,43,services,single,secondary,no,550,yes,no,cellular,13,may,107,2,-1,0,unknown
7877,no,53,entrepreneur,married,tertiary,no,1129,no,yes,cellular,28,jul,241,8,-1,0,unknown
9204,no,36,blue-collar,married,secondary,no,418,yes,yes,cellular,13,may,132,2,-1,0,unknown
10567,no,35,admin.,single,secondary,no,855,yes,no,unknown,12,may,241,3,-1,0,unknown
8483,no,48,unknown,married,unknown,no,3,no,no,cellular,19,aug,104,2,-1,0,unknown
6616,no,52,management,married,tertiary,no,6,no,no,telephone,19,oct,57,1,-1,0,unknown
5412,no,49,technician,married,secondary,no,5244,no,no,cellular,25,aug,60,4,-1,0,unknown
4198,yes,51,technician,married,tertiary,no,1347,yes,yes,cellular,10,feb,160,1,243,1,failure
7709,no,43,blue-collar,married,primary,no,0,yes,no,unknown,20,may,592,1,-1,0,unknown
7191,no,58,entrepreneur,married,primary,no,1153,yes,yes,telephone,12,may,206,6,337,6,failure
6301,no,55,retired,married,secondary,no,1431,no,yes,cellular,28,jan,107,1,-1,0,unknown
2266,yes,25,admin.,single,secondary,no,1871,no,no,cellular,4,jun,136,1,-1,0,unknown
7423,no,38,management,single,tertiary,no,91,yes,no,unknown,19,may,492,9,-1,0,unknown
3232,yes,23,student,single,secondary,no,1234,no,no,cellular,15,feb,379,1,91,1,success
3455,yes,37,unemployed,single,secondary,no,2722,no,no,telephone,27,apr,426,2,179,3,other
10570,no,77,unknown,married,unknown,no,397,no,no,telephone,8,nov,207,1,185,3,success
6674,no,43,management,divorced,tertiary,no,1133,yes,no,cellular,5,may,131,1,-1,0,unknown
8448,no,31,technician,single,secondary,no,4888,yes,no,telephone,5,may,475,4,166,2,failure
5205,yes,65,retired,married,secondary,no,20806,no,no,telephone,8,apr,523,2,-1,0,unknown
3622,yes,39,technician,single,secondary,no,1435,no,no,cellular,17,jun,383,1,296,19,other
3017,yes,53,entrepreneur,married,tertiary,no,1961,no,no,cellular,15,dec,351,1,-1,0,unknown
3858,yes,56,technician,divorced,secondary,no,3450,no,no,cellular,10,aug,507,1,181,2,success
3128,yes,60,management,married,unknown,no,264,no,no,telephone,1,feb,265,1,-1,0,unknown
4449,yes,45,admin.,married,secondary,no,0,no,yes,telephone,15,jul,533,3,-1,0,unknown
6350,no,32,services,married,secondary,no,15,yes,no,cellular,15,may,391,1,-1,0,unknown
9185,no,43,management,married,tertiary,no,1336,yes,yes,cellular,27,may,82,2,309,1,failure
2784,yes,65,retired,married,secondary,no,571,yes,no,cellular,20,oct,349,1,183,2,success
3998,yes,43,unemployed,married,secondary,no,0,yes,yes,cellular,23,sep,183,2,184,13,failure
6701,no,60,admin.,married,primary,no,-444,no,yes,cellular,16,jul,227,1,-1,0,unknown
9816,no,48,blue-collar,married,primary,no,783,no,yes,cellular,6,aug,90,2,-1,0,unknown
3645,yes,48,management,single,tertiary,no,86,no,no,cellular,28,jun,281,3,186,6,other
7311,no,42,services,married,secondary,no,1301,yes,no,cellular,21,jul,510,6,-1,0,unknown
4174,yes,33,technician,single,tertiary,no,1393,yes,no,cellular,18,jul,1127,3,-1,0,unknown
1039,yes,50,blue-collar,married,primary,no,12519,yes,no,cellular,21,nov,615,3,34,1,failure
7522,no,45,technician,married,secondary,no,144,yes,yes,cellular,14,jul,154,4,-1,0,unknown
7867,no,26,services,single,secondary,no,-481,yes,yes,cellular,6,may,595,5,-1,0,unknown
3079,yes,48,unemployed,married,secondary,no,817,no,no,cellular,14,jan,517,1,282,4,success
11119,no,39,management,married,tertiary,no,-974,no,yes,cellular,13,aug,130,4,-1,0,unknown
9855,no,39,services,divorced,secondary,yes,-96,yes,yes,telephone,12,may,38,6,-1,0,unknown
4612,yes,39,technician,married,secondary,no,1587,yes,no,cellular,2,jun,171,3,-1,0,unknown
8994,no,38,management,single,tertiary,no,1637,no,yes,cellular,5,aug,231,1,-1,0,unknown
1553,yes,44,blue-collar,married,secondary,yes,105,yes,no,cellular,20,apr,586,1,-1,0,unknown
3471,yes,41,self-employed,married,tertiary,no,0,yes,no,telephone,29,apr,395,3,426,1,other
5611,no,45,management,married,tertiary,yes,-577,yes,yes,cellular,24,jul,204,1,-1,0,unknown
4765,yes,37,management,single,tertiary,no,8828,no,no,unknown,12,jun,1010,3,-1,0,unknown
341,yes,29,blue-collar,single,secondary,no,908,yes,no,unknown,20,jun,1663,1,-1,0,unknown
408,yes,38,management,married,tertiary,yes,327,yes,yes,cellular,9,jul,556,5,-1,0,unknown
2447,yes,46,management,married,tertiary,no,4693,no,yes,cellular,7,aug,79,1,394,2,failure
6083,no,26,blue-collar,single,secondary,no,-84,yes,yes,cellular,29,jul,63,5,-1,0,unknown
9019,no,31,management,married,tertiary,no,477,yes,no,cellular,21,nov,77,5,-1,0,unknown
6084,no,40,management,married,secondary,no,-240,no,yes,unknown,28,may,160,3,-1,0,unknown
5564,no,34,technician,single,secondary,no,4943,yes,yes,cellular,19,nov,117,2,-1,0,unknown
7022,no,36,management,married,tertiary,no,4,no,yes,cellular,29,jul,261,6,-1,0,unknown
9176,no,47,admin.,married,secondary,no,29,no,yes,cellular,22,aug,150,8,-1,0,unknown
10997,no,35,management,married,tertiary,no,1193,yes,no,unknown,2,jun,101,2,-1,0,unknown
8889,no,54,retired,married,primary,no,11,yes,yes,cellular,18,aug,48,10,-1,0,unknown
6383,no,31,technician,married,secondary,no,180,no,no,cellular,26,may,222,1,70,2,success
9234,no,33,admin.,married,secondary,no,0,no,yes,cellular,6,feb,214,5,-1,0,unknown
6524,no,55,unemployed,married,secondary,no,-246,no,yes,cellular,8,jul,305,2,-1,0,unknown
5195,yes,35,technician,married,secondary,no,2779,no,no,cellular,22,oct,118,2,-1,0,unknown
2708,yes,70,retired,married,tertiary,no,44,no,no,cellular,18,sep,1104,2,88,2,other
2383,yes,63,retired,married,secondary,no,18016,no,no,cellular,7,jul,371,1,-1,0,unknown
5769,no,57,technician,married,secondary,no,295,no,no,cellular,19,aug,151,11,-1,0,unknown
1866,yes,42,management,married,tertiary,no,-556,yes,yes,cellular,8,may,682,3,347,3,failure
5154,yes,32,management,divorced,tertiary,no,222,no,yes,cellular,15,jul,820,4,-1,0,unknown
1092,yes,28,unknown,single,secondary,no,4465,no,no,cellular,28,jan,769,1,-1,0,unknown
446,yes,44,admin.,divorced,secondary,no,163,yes,no,cellular,14,jul,1669,2,-1,0,unknown
4608,yes,35,services,single,primary,no,167,no,yes,cellular,11,jul,614,2,-1,0,unknown
8076,no,34,services,married,primary,no,31,no,yes,cellular,9,jul,53,3,-1,0,unknown
4891,yes,45,blue-collar,married,primary,no,804,yes,no,unknown,16,may,528,1,-1,0,unknown
10273,no,55,self-employed,married,secondary,no,12159,yes,no,cellular,20,nov,142,2,174,2,failure
9501,no,31,technician,married,tertiary,no,313,yes,no,cellular,27,aug,114,2,-1,0,unknown
3027,yes,27,student,single,secondary,no,538,no,no,cellular,18,dec,170,4,197,2,success
9976,no,43,unknown,married,primary,no,0,yes,no,cellular,9,jul,132,1,-1,0,unknown
4080,yes,78,management,married,unknown,no,1780,yes,no,cellular,25,oct,211,2,185,7,success
354,yes,43,management,married,tertiary,no,149,yes,no,unknown,23,jun,662,2,-1,0,unknown
10954,no,30,management,single,tertiary,no,726,yes,no,cellular,16,apr,39,1,342,3,failure
7034,no,59,management,married,tertiary,yes,782,no,yes,cellular,13,aug,127,2,-1,0,unknown
9546,no,30,blue-collar,married,secondary,no,282,yes,yes,unknown,23,may,148,2,-1,0,unknown
4566,yes,33,management,single,tertiary,no,1271,yes,no,cellular,15,apr,636,3,330,1,failure
10859,no,43,blue-collar,married,primary,no,377,no,yes,unknown,20,jun,11,5,-1,0,unknown
7957,no,36,unemployed,single,secondary,no,115,no,no,cellular,9,feb,71,2,-1,0,unknown
1666,yes,34,self-employed,married,primary,no,7468,yes,yes,cellular,30,apr,383,1,-1,0,unknown
8443,no,45,admin.,married,secondary,no,0,no,no,cellular,14,aug,113,2,-1,0,unknown
5501,no,37,self-employed,married,secondary,no,744,yes,yes,cellular,21,aug,161,3,-1,0,unknown
8095,no,52,blue-collar,married,secondary,no,408,no,no,cellular,29,jan,338,2,-1,0,unknown
10733,no,56,management,married,tertiary,no,-6,no,no,telephone,31,jul,29,16,-1,0,unknown
7209,no,31,unemployed,single,tertiary,no,140,yes,no,telephone,7,may,11,2,-1,0,unknown
2126,yes,36,technician,married,tertiary,no,911,yes,yes,cellular,25,may,117,2,21,3,failure
10797,no,33,admin.,married,secondary,no,0,yes,yes,cellular,9,jul,160,1,-1,0,unknown
5747,no,59,retired,single,secondary,yes,-341,no,yes,cellular,14,jul,94,3,-1,0,unknown
10565,no,43,admin.,married,secondary,no,2,yes,yes,cellular,22,jul,254,1,-1,0,unknown
9529,no,30,blue-collar,single,secondary,no,148,no,no,cellular,2,apr,206,1,-1,0,unknown
2916,yes,42,technician,married,secondary,no,994,yes,no,cellular,12,nov,227,3,93,6,success
10338,no,46,blue-collar,married,secondary,no,2603,yes,yes,cellular,11,may,50,3,277,2,failure
343,yes,57,management,married,tertiary,no,-92,yes,yes,unknown,20,jun,1617,1,-1,0,unknown
7886,no,44,services,divorced,secondary,no,-389,yes,yes,unknown,5,jun,52,1,-1,0,unknown
6681,no,34,services,married,secondary,no,295,yes,yes,cellular,4,jul,64,1,-1,0,unknown
10932,no,33,technician,single,tertiary,no,34,no,no,cellular,28,aug,13,30,-1,0,unknown
6948,no,38,admin.,divorced,secondary,no,0,yes,no,cellular,21,jul,93,1,-1,0,unknown
6970,no,50,blue-collar,married,primary,no,-37,yes,no,unknown,12,may,78,3,-1,0,unknown
8572,no,29,blue-collar,married,secondary,no,100,yes,yes,cellular,6,may,152,4,344,2,failure
9108,no,38,technician,divorced,secondary,no,-397,yes,yes,cellular,21,jul,91,9,-1,0,unknown
6784,no,34,admin.,married,secondary,no,2378,yes,yes,telephone,10,jul,92,1,-1,0,unknown
7842,no,25,blue-collar,single,secondary,no,76,no,yes,cellular,28,jul,50,4,-1,0,unknown
6786,no,34,admin.,married,tertiary,no,1636,yes,yes,cellular,6,sep,136,1,521,2,failure
3626,yes,46,blue-collar,married,secondary,no,1723,no,no,cellular,17,jun,176,2,52,7,failure
9194,no,57,retired,married,tertiary,no,34,no,yes,cellular,28,jan,139,1,-1,0,unknown
9925,no,46,technician,married,secondary,no,363,yes,no,cellular,6,aug,209,3,-1,0,unknown
8260,no,34,admin.,married,secondary,no,641,yes,yes,unknown,16,may,467,1,-1,0,unknown
5871,no,26,blue-collar,married,primary,no,133,no,yes,cellular,25,jul,57,3,-1,0,unknown
10345,no,51,blue-collar,married,primary,no,2095,yes,yes,cellular,2,feb,438,4,-1,0,unknown
4138,yes,46,blue-collar,married,secondary,no,456,no,yes,cellular,18,aug,618,6,-1,0,unknown
6724,no,58,technician,divorced,secondary,no,-354,yes,yes,cellular,7,jul,98,1,-1,0,unknown
4535,yes,46,admin.,single,tertiary,no,2889,yes,no,cellular,5,may,494,1,-1,0,unknown
5482,no,33,services,single,secondary,no,192,no,no,cellular,24,jul,255,1,-1,0,unknown
2245,yes,25,blue-collar,single,secondary,no,389,no,no,cellular,3,jun,837,1,-1,0,unknown
255,yes,26,admin.,married,secondary,no,710,yes,yes,unknown,6,jun,1276,2,-1,0,unknown
2706,yes,26,management,single,tertiary,no,1646,no,no,cellular,18,sep,890,5,-1,0,unknown
1909,yes,39,management,married,tertiary,no,1425,yes,no,cellular,12,may,775,3,-1,0,unknown
8487,no,34,admin.,married,tertiary,no,21,no,yes,cellular,2,jun,269,1,92,2,failure
6182,no,34,blue-collar,married,secondary,no,1682,yes,yes,cellular,28,jul,123,3,-1,0,unknown
8247,no,39,management,married,tertiary,no,351,yes,no,unknown,20,may,999,3,-1,0,unknown
4899,yes,37,management,married,tertiary,no,630,no,no,cellular,30,apr,315,1,87,1,success
5059,yes,32,admin.,married,secondary,no,1604,no,yes,cellular,7,jul,625,1,-1,0,unknown
8766,no,57,retired,married,primary,no,1623,yes,yes,cellular,18,jul,246,1,-1,0,unknown
4093,yes,52,technician,married,tertiary,no,0,no,no,cellular,9,nov,467,3,92,7,failure
11036,no,54,housemaid,divorced,tertiary,no,9,no,yes,cellular,29,jul,136,3,-1,0,unknown
1862,yes,56,blue-collar,divorced,primary,no,-9,yes,yes,cellular,8,may,728,1,-1,0,unknown
1507,yes,29,management,single,tertiary,no,268,no,no,cellular,16,apr,667,1,-1,0,unknown
1947,yes,50,technician,divorced,secondary,no,-54,yes,yes,cellular,13,may,698,2,292,1,failure
7350,no,53,blue-collar,married,secondary,no,1093,yes,yes,unknown,16,jun,244,3,-1,0,unknown
6267,no,38,admin.,married,secondary,no,47,yes,yes,cellular,31,jul,50,11,-1,0,unknown
8223,no,44,technician,married,tertiary,no,1818,yes,yes,cellular,30,apr,247,1,-1,0,unknown
1914,yes,50,blue-collar,married,primary,no,-522,yes,no,cellular,13,may,863,3,-1,0,unknown
9815,no,40,blue-collar,married,primary,no,137,no,yes,cellular,10,jul,214,1,-1,0,unknown
4602,yes,35,blue-collar,single,secondary,no,885,yes,no,cellular,15,jul,632,6,-1,0,unknown
8346,no,36,technician,married,primary,no,1653,yes,yes,unknown,27,may,336,10,-1,0,unknown
1465,yes,32,technician,married,secondary,no,765,yes,yes,cellular,14,apr,850,2,-1,0,unknown
10177,no,38,management,single,tertiary,no,8669,yes,no,telephone,20,apr,5,3,150,6,failure
3099,yes,77,retired,married,secondary,no,4112,no,no,telephone,26,jan,1616,1,95,2,success
2567,yes,22,student,single,tertiary,no,691,no,no,cellular,19,aug,338,1,-1,0,unknown
10355,no,46,management,divorced,tertiary,no,0,no,yes,cellular,29,aug,38,6,-1,0,unknown
7316,no,55,technician,single,secondary,no,1199,no,yes,telephone,4,may,159,10,-1,0,unknown
580,yes,26,technician,single,secondary,no,941,no,yes,cellular,25,jul,784,1,-1,0,unknown
10479,no,37,management,single,tertiary,no,427,yes,no,unknown,20,may,121,1,-1,0,unknown
9157,no,34,blue-collar,single,secondary,no,550,yes,no,cellular,20,apr,90,3,346,1,failure
3188,yes,34,management,divorced,tertiary,no,2885,no,no,cellular,10,feb,314,2,156,4,other
359,yes,27,blue-collar,married,primary,no,-413,no,yes,unknown,27,jun,422,6,-1,0,unknown
11099,no,31,management,single,tertiary,no,78,yes,no,cellular,22,jul,369,2,-1,0,unknown
7329,no,58,retired,married,secondary,no,-324,yes,no,cellular,7,may,229,2,-1,0,unknown
8591,no,30,blue-collar,married,secondary,no,1131,yes,yes,cellular,18,nov,189,1,144,5,failure
7213,no,50,management,married,tertiary,no,453,no,yes,unknown,4,jul,608,1,-1,0,unknown
2576,yes,47,management,married,tertiary,no,0,no,yes,cellular,21,aug,374,1,-1,0,unknown
10394,no,37,blue-collar,married,secondary,no,-4,yes,yes,unknown,29,may,381,1,-1,0,unknown
6649,no,31,management,married,tertiary,no,40,no,no,cellular,2,feb,118,2,-1,0,unknown
357,yes,30,technician,married,tertiary,no,526,yes,yes,unknown,26,jun,677,3,-1,0,unknown
9814,no,28,admin.,married,tertiary,no,174,yes,yes,cellular,11,feb,56,1,184,2,failure
6905,no,51,technician,married,secondary,no,564,no,yes,cellular,8,jul,187,2,-1,0,unknown
3001,yes,80,retired,married,primary,no,155,no,no,telephone,9,dec,343,2,-1,0,unknown
3741,yes,45,management,married,tertiary,no,31472,no,no,cellular,19,jul,568,7,-1,0,unknown
6861,no,36,management,single,tertiary,no,8,no,no,cellular,29,jul,858,7,-1,0,unknown
6865,no,53,retired,married,primary,no,1068,no,no,cellular,28,jan,200,1,-1,0,unknown
10605,no,35,entrepreneur,married,tertiary,no,542,yes,yes,unknown,27,may,591,5,-1,0,unknown
9849,no,43,blue-collar,married,primary,yes,1202,no,no,unknown,30,may,295,1,-1,0,unknown
2354,yes,44,blue-collar,married,secondary,no,88,yes,no,cellular,2,jul,275,1,-1,0,unknown
6462,no,23,services,married,secondary,no,1309,yes,no,unknown,3,jun,349,2,-1,0,unknown
602,yes,55,technician,married,secondary,no,3899,yes,no,telephone,28,jul,596,4,-1,0,unknown
6452,no,27,technician,single,secondary,no,740,yes,no,cellular,5,may,294,1,-1,0,unknown
10153,no,27,blue-collar,married,secondary,no,-59,no,yes,cellular,8,jul,154,3,-1,0,unknown
6264,no,44,management,married,tertiary,no,-1636,yes,yes,cellular,11,may,257,1,-1,0,unknown
2454,yes,37,admin.,married,secondary,no,96,no,no,cellular,7,aug,155,1,99,2,success
177,yes,36,management,single,tertiary,no,7606,yes,no,unknown,30,may,917,1,-1,0,unknown
9901,no,43,blue-collar,married,unknown,no,285,yes,no,cellular,15,may,22,6,-1,0,unknown
9497,no,36,services,married,secondary,no,0,yes,yes,cellular,15,jul,201,4,-1,0,unknown
415,yes,30,blue-collar,single,secondary,no,155,yes,yes,cellular,9,jul,1426,3,-1,0,unknown
6416,no,38,blue-collar,married,secondary,no,-367,yes,yes,cellular,12,may,354,1,-1,0,unknown
7610,no,38,management,married,tertiary,no,0,yes,no,unknown,20,jun,211,2,-1,0,unknown
5263,yes,36,services,single,secondary,no,1227,yes,yes,cellular,4,may,775,5,341,3,failure
2853,yes,30,management,single,tertiary,no,697,no,no,cellular,29,oct,215,3,80,5,success
590,yes,51,blue-collar,married,primary,no,0,yes,yes,cellular,25,jul,946,3,-1,0,unknown
8984,no,45,services,married,secondary,no,27,yes,yes,cellular,31,jul,43,2,-1,0,unknown
10135,no,27,technician,single,tertiary,no,501,no,yes,telephone,30,jan,370,4,-1,0,unknown
2798,yes,19,student,single,secondary,no,329,no,no,cellular,22,oct,252,2,-1,0,unknown
6898,no,39,blue-collar,married,secondary,no,94,yes,yes,cellular,19,nov,181,1,-1,0,unknown
1150,yes,39,unemployed,single,secondary,no,-114,yes,no,cellular,3,feb,372,1,-1,0,unknown
7634,no,33,blue-collar,single,primary,yes,-15,no,yes,cellular,7,jul,326,2,-1,0,unknown
5183,yes,39,self-employed,married,tertiary,no,1047,no,no,unknown,6,jun,554,1,-1,0,unknown
6008,no,45,self-employed,married,tertiary,no,-497,yes,yes,cellular,20,nov,260,1,-1,0,unknown
6287,no,57,technician,married,secondary,no,458,no,yes,cellular,15,jul,177,3,-1,0,unknown
956,yes,31,admin.,single,secondary,no,19,yes,no,cellular,18,nov,1978,1,-1,0,unknown
3660,yes,48,admin.,single,secondary,no,1544,yes,no,telephone,30,jun,263,1,450,2,failure
7648,no,26,services,single,secondary,no,209,yes,no,cellular,22,jul,319,2,-1,0,unknown
9752,no,31,management,divorced,tertiary,no,883,yes,no,cellular,19,nov,168,1,-1,0,unknown
10709,no,40,services,married,secondary,no,2346,no,no,unknown,16,jun,182,3,-1,0,unknown
6839,no,22,student,single,tertiary,no,1161,no,yes,cellular,16,jun,119,1,-1,0,unknown
4232,yes,42,services,divorced,secondary,no,257,yes,no,cellular,12,may,955,2,-1,0,unknown
8446,no,30,blue-collar,married,primary,no,5956,yes,yes,cellular,20,nov,405,1,139,1,failure
7619,no,45,blue-collar,married,secondary,no,61,yes,yes,unknown,23,may,208,1,-1,0,unknown
3367,yes,47,management,single,tertiary,no,334,yes,no,cellular,26,mar,360,1,326,8,failure
5466,no,34,blue-collar,single,secondary,no,341,yes,no,unknown,8,may,195,1,-1,0,unknown
8574,no,40,admin.,married,secondary,no,419,yes,yes,cellular,12,may,92,1,369,1,failure
8843,no,52,management,single,tertiary,no,4,no,yes,cellular,28,jul,30,9,-1,0,unknown
7488,no,35,technician,married,tertiary,no,416,no,no,cellular,11,aug,591,4,-1,0,unknown
6457,no,45,blue-collar,married,secondary,no,2071,no,yes,telephone,22,jul,1148,2,-1,0,unknown
6392,no,59,retired,married,secondary,no,2291,no,yes,cellular,14,jul,127,3,-1,0,unknown
7566,no,37,management,married,tertiary,no,57,no,no,cellular,30,apr,96,2,84,1,success
5269,yes,56,management,married,tertiary,no,2333,no,no,cellular,4,may,244,1,-1,0,unknown
9876,no,44,admin.,married,secondary,no,1248,yes,yes,cellular,8,may,428,3,-1,0,unknown
8299,no,41,services,married,secondary,no,241,yes,yes,unknown,4,jun,144,1,-1,0,unknown
481,yes,35,management,married,tertiary,no,36,no,yes,cellular,16,jul,1656,5,-1,0,unknown
8068,no,29,admin.,married,secondary,no,494,yes,no,unknown,26,may,341,2,-1,0,unknown
4533,yes,27,services,single,secondary,no,1347,no,no,telephone,28,dec,824,1,193,11,success
10542,no,32,management,married,tertiary,no,1683,yes,yes,cellular,20,apr,72,2,-1,0,unknown
10935,no,40,admin.,married,secondary,no,1395,yes,yes,cellular,7,jul,122,2,-1,0,unknown
6882,no,44,unemployed,married,primary,no,97,yes,no,unknown,5,jun,105,3,-1,0,unknown
10414,no,54,blue-collar,married,primary,no,2440,no,yes,cellular,17,nov,334,1,-1,0,unknown
9940,no,38,services,married,secondary,no,-762,yes,yes,unknown,30,may,408,2,-1,0,unknown
6622,no,41,management,divorced,secondary,no,0,no,no,cellular,6,aug,438,2,-1,0,unknown
7965,no,26,student,single,secondary,no,502,yes,no,telephone,7,may,82,1,-1,0,unknown
6939,no,37,technician,single,tertiary,no,1609,no,yes,unknown,20,jun,10,19,-1,0,unknown
7769,no,54,management,married,tertiary,no,-1415,yes,yes,cellular,17,nov,135,1,-1,0,unknown
7005,no,54,retired,married,primary,no,136,yes,no,cellular,3,apr,352,1,332,2,failure
6002,no,52,management,married,tertiary,no,499,no,no,cellular,6,aug,115,4,-1,0,unknown
2506,yes,74,retired,married,primary,no,0,no,no,telephone,13,aug,562,2,-1,0,unknown
5580,no,37,blue-collar,married,secondary,no,-57,yes,yes,cellular,7,may,55,5,-1,0,unknown
10485,no,35,technician,single,tertiary,no,144,yes,yes,cellular,4,feb,202,4,113,20,failure
6928,no,38,blue-collar,single,primary,no,0,yes,no,cellular,7,may,350,2,-1,0,unknown
10634,no,32,technician,divorced,tertiary,no,267,no,no,cellular,26,may,128,1,-1,0,unknown
7234,no,44,technician,single,tertiary,no,678,no,no,cellular,3,feb,111,1,124,2,other
10115,no,41,technician,divorced,secondary,no,1545,no,yes,cellular,13,aug,183,2,-1,0,unknown
10112,no,59,management,married,unknown,no,3534,no,no,cellular,21,nov,216,4,-1,0,unknown
1304,yes,54,admin.,married,secondary,no,602,no,no,cellular,3,mar,143,2,-1,0,unknown
11056,no,31,technician,married,secondary,no,522,yes,yes,cellular,27,aug,308,4,-1,0,unknown
9769,no,48,blue-collar,married,primary,no,456,yes,yes,unknown,19,may,289,1,-1,0,unknown
10794,no,45,management,married,primary,no,321,yes,no,cellular,30,jul,918,4,-1,0,unknown
11126,no,35,unemployed,married,secondary,yes,1054,yes,yes,cellular,21,nov,106,1,-1,0,unknown
